"Len","P31","P50","P356","P1476","P1433","P577"
"Performance Assessment Framework for Small Water Systems: Case Study in British Columbia","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0001297","Performance Assessment Framework for Small Water Systems: Case Study in British Columbia","Journal of Water Resources Planning and Management","2020-09-25"
"Performance Assessment Model for Municipal Solid Waste Management systems: Development and Implementation","Q13442814","Rehan Sadiq","10.3390/environments6020019","Performance Assessment Model for Municipal Solid Waste Management systems: Development and Implementation","Environments","2019-02-12"
"Performance assessment of low-order versus high-order numerical schemes in the numerical simulation of aquifer","Q13442814","Q57582079","10.2166/nh.2016.148","Performance assessment of low-order versus high-order numerical schemes in the numerical simulation of aquifer","Hydrology Research","2016-01-07"
"Performance benchmarking model for sustainability of aquatic centres in cold regions: Development and implementation","Q13442814","Rehan Sadiq","10.1016/j.spc.2020.12.020","Performance benchmarking model for sustainability of aquatic centres in cold regions: Development and implementation","Sustainable Production and Consumption","2020-12-17"
"Performance evaluation of a thermophilic biofilter for the removal of MTBE from waste air stream: Effects of inlet concentration and EBRT","Q13442814","Madjid Mohseni","10.1016/j.bej.2009.03.008","Performance evaluation of a thermophilic biofilter for the removal of MTBE from waste air stream: Effects of inlet concentration and EBRT","Biochemical Engineering Journal","2009-03-26"
"Performance evaluation of employees using Bayesian belief network model","Q13442814","Rehan Sadiq","10.1080/17509653.2017.1312583","Performance evaluation of employees using Bayesian belief network model","International Journal of Management Science and Engineering Management","2017-05-12"
"Performance evaluation of slow sand filters: a probabilistic approach","Q13442814","Rehan Sadiq","10.1016/s1364-8152(03)00165-8","Performance evaluation of slow sand filters: a probabilistic approach","Environmental Modelling & Software","2003-10-28"
"Performance indicators for aquatic centres in Canada: Identification and selection using fuzzy based methods","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2020.141619","Performance indicators for aquatic centres in Canada: Identification and selection using fuzzy based methods","Science of The Total Environment","2020-08-15"
"Performance indicators for municipal solid waste management systems in Saudi Arabia: selection and ranking using fuzzy AHP and PROMETHEE II","Q13442814","Rehan Sadiq","10.1007/s12517-019-4645-0","Performance indicators for municipal solid waste management systems in Saudi Arabia: selection and ranking using fuzzy AHP and PROMETHEE II","Arabian Journal of Geosciences","2019-08-01"
"Performance indicators for small- and medium-sized water supply systems: a review","Q13442814","Rehan Sadiq","10.1139/er-2013-0013","Performance indicators for small- and medium-sized water supply systems: a review","Environmental Reviews","2013-07-24"
"Performance management of small water treatment plant operations: a decision support system","Q13442814","Rehan Sadiq","10.1111/wej.12248","Performance management of small water treatment plant operations: a decision support system","Water and Environment Journal","2017-04-04"
"Performance of low-impact development best management practices: a critical review","Q13442814","Rehan Sadiq","10.1139/er-2018-0048","Performance of low-impact development best management practices: a critical review","Environmental Reviews","2018-09-11"
"Performance of thin-film composite hollow fiber nanofiltration for the removal of dissolved Mn, Fe and NOM from domestic groundwater supplies","Q13442814","Pierre Bérubé","10.1016/j.watres.2018.08.032","Performance of thin-film composite hollow fiber nanofiltration for the removal of dissolved Mn, Fe and NOM from domestic groundwater supplies","Water Research","2018-08-22"
"Performance of vacuum UV (VUV) for the degradation of MC-LR, geosmin, and MIB from cyanobacteria-impacted waters","Q13442814","Madjid Mohseni","10.1039/c9ew00538b","Performance of vacuum UV (VUV) for the degradation of MC-LR, geosmin, and MIB from cyanobacteria-impacted waters","Environmental Science: Water Research & Technology","2019-09-09"
"Personalized Genetic Testing and Norovirus Susceptibility","Q13442814","Natalie Prystajecky","10.1155/2014/708579","Personalized Genetic Testing and Norovirus Susceptibility","Canadian Journal of Infectious Diseases and Medical Microbiology","2016-03-15"
"Phenology and ecology of some Trichoptera in a low-gradient boreal stream","Q13442814","Q56794616","10.2307/1467706","Phenology and ecology of some Trichoptera in a low-gradient boreal stream","Journal of the North American Benthological Society","2006-05-08"
"Photocatalytic degradation of 2, 4-dichlorophenoxyacetic acid in a fluidized bed photoreactor with composite template-free TiO2 photocatalyst","Q13442814","Madjid Mohseni","10.1016/j.apcata.2011.07.033","Photocatalytic degradation of 2, 4-dichlorophenoxyacetic acid in a fluidized bed photoreactor with composite template-free TiO2 photocatalyst","Applied Catalysis A: General","2011-08-06"
"Physical cleaning efficacy of hollow fiber nanofiltration membranes in drinking water applications.","Q13442814","Pierre Bérubé","10.5004/dwt.2017.20184","Physical cleaning efficacy of hollow fiber nanofiltration membranes in drinking water applications.","DESALINATION AND WATER TREATMENT","2017-02-20"
"Physical effects of streambed periphyton on particle deposition and flow hydraulics","Q13442814","Marwan Hassan","10.1016/j.geomorph.2010.08.015","Physical effects of streambed periphyton on particle deposition and flow hydraulics","Geomorphology","2010-09-18"
"Physiological responses to extreme hydrological events in the Pantanal wetland: heterogeneity of a plant community containing super‐dominant species","Q13442814","Mark Johnson","10.1111/jvs.12379","Physiological responses to extreme hydrological events in the Pantanal wetland: heterogeneity of a plant community containing super‐dominant species","Journal of Vegetation Science","2016-01-11"
"Pilot-scale UV/H2O2 advanced oxidation process for surface water treatment and downstream biological treatment: effects on natural organic matter characteristics and DBP …","Q13442814","Madjid Mohseni","10.1080/09593330.2011.553843","Pilot-scale UV/H2O2 advanced oxidation process for surface water treatment and downstream biological treatment: effects on natural organic matter characteristics and DBP …","Environmental Technology","2011-02-13"
"Pilot-scale treatment of 1, 4-dioxane contaminated waters using 185 nm radiation: experimental and CFD modeling","Q13442814","Madjid Mohseni","10.1016/j.jwpe.2017.06.015","Pilot-scale treatment of 1, 4-dioxane contaminated waters using 185 nm radiation: experimental and CFD modeling","Journal of Water Process Engineering","2017-08-10"
"Planning for sustainable stakeholder engagement based on the assessment of conflicting interests in projects","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.118402","Planning for sustainable stakeholder engagement based on the assessment of conflicting interests in projects","Journal of Cleaner Production","2019-09-15"
"Planning for water resilience: competing agendas among Cape Town’s planners and water managers","Q13442814","Q58348879","10.1016/j.envsci.2019.05.016","Planning for water resilience: competing agendas among Cape Town’s planners and water managers","Environmental Science & Policy","2019-05-24"
"Planning of cement plants for environmentally friendly production: a fuzzy-weighted stochastic multi-objective model","Q13442814","Rehan Sadiq","10.1007/s10098-019-01757-2","Planning of cement plants for environmentally friendly production: a fuzzy-weighted stochastic multi-objective model","Clean Technologies and Environmental Policy","2019-09-22"
"Political Ecologies of Global Health: Pesticide Exposure in Southwestern Ecuador's Banana Industry","Q13442814","Leila M. Harris","10.1111/anti.12340","Political Ecologies of Global Health: Pesticide Exposure in Southwestern Ecuador's Banana Industry","Antipode","2017-06-13"
"Political ecologies of the state: Recent interventions and questions going forward","Q13442814","Leila M. Harris","10.1016/j.polgeo.2017.03.006","Political ecologies of the state: Recent interventions and questions going forward","Political Geography","2017-03-27"
"Pollution by hexachlorobenzene and pentachlorophenol in the coastal plain of São Paulo state, Brazil","Q13442814","Gunilla Öberg","10.1016/j.geoderma.2003.11.008","Pollution by hexachlorobenzene and pentachlorophenol in the coastal plain of São Paulo state, Brazil","Geoderma","2004-01-13"
"Pool‐Riffle Adjustment Due to Changes in Flow and Sediment Supply","Q13442814","Valentina Radić","10.1029/2020wr028048","Pool‐Riffle Adjustment Due to Changes in Flow and Sediment Supply","Water Resources Research","2021-01-16"
"Pool‐riffle adjustment due to changes in flow and sediment supply","Q13442814","Marwan Hassan","10.1029/2020wr028048","Pool‐riffle adjustment due to changes in flow and sediment supply","Water Resources Research","2021-01-16"
"Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Q13442814","Marwan Hassan","10.1002/2015wr017840","Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Water Resources Research","2015-10-12"
"Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Q13442814","Valentina Radić","10.1002/2015wr017840","Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Water Resources Research","2015-10-12"
"Portable Chamber System for Measuring Chloroform Fluxes from Terrestrial Environments – Methodological Challenges","Q13442814","Gunilla Öberg","10.1021/es403062c","Portable Chamber System for Measuring Chloroform Fluxes from Terrestrial Environments – Methodological Challenges","Environmental Science & Technology","2013-10-24"
