"Len","P31","P50","P356","P1476"
"Nitrogen aboveground turnover and soil stocks to 8 m depth in primary and selectively logged forest in southern Amazonia","Q13442814","Mark Johnson","10.1111/j.1365-2486.2009.02068.x","Nitrogen aboveground turnover and soil stocks to 8 m depth in primary and selectively logged forest in southern Amazonia"
"Nitrogen enrichment potential of biochar in relation to pyrolysis temperature and feedstock quality","Q13442814","Mark Johnson","10.1016/j.jenvman.2015.01.021","Nitrogen enrichment potential of biochar in relation to pyrolysis temperature and feedstock quality"
"Nitrous Oxide from Heterogeneous Agricultural Landscapes: Source Contribution Analysis by Eddy Covariance and Chambers","Q13442814","Gunilla Öberg","10.2136/sssaj2010.0415","Nitrous Oxide from Heterogeneous Agricultural Landscapes: Source Contribution Analysis by Eddy Covariance and Chambers"
"Nonlinear variation of stream–forest linkage along a stream‐size gradient: an assessment using biogeochemical proxies of in‐stream fine particulate organic matter","Q13442814","Q56794616","10.1111/1365-2664.12099","Nonlinear variation of stream–forest linkage along a stream‐size gradient: an assessment using biogeochemical proxies of in‐stream fine particulate organic matter"
"Novel Collimated Beam Setup to Study the Kinetics of VUV-Induced Reactions","Q13442814","Madjid Mohseni","10.1111/php.12157","Novel Collimated Beam Setup to Study the Kinetics of VUV-Induced Reactions"
"Novel Membrane Pretreatment to Increase the Efficiency of Ozonation-BioOxidation","Q13442814","Madjid Mohseni","10.1089/ees.2006.0264","Novel Membrane Pretreatment to Increase the Efficiency of Ozonation-BioOxidation"
"Novel composite photocatalyst made of TiO2 nanoparticles","Q13442814","Madjid Mohseni","10.2166/wst.2010.790","Novel composite photocatalyst made of TiO2 nanoparticles"
"Numerical Study on Stress Concentration Factors at Splice Welds of Structural Steel Pipes","Q13442814","Rehan Sadiq","10.4043/25072-ms","Numerical Study on Stress Concentration Factors at Splice Welds of Structural Steel Pipes"
"Numerical and experimental investigation of pulse bubble aeration with high packing density hollow-fibre MBRs","Q13442814","Pierre Bérubé","10.1016/j.watres.2019.05.056","Numerical and experimental investigation of pulse bubble aeration with high packing density hollow-fibre MBRs"
"Nutrients and sediment modify the impacts of a neonicotinoid insecticide on freshwater community structure and ecosystem functioning","Q13442814","Q56794616","10.1016/j.scitotenv.2019.06.301","Nutrients and sediment modify the impacts of a neonicotinoid insecticide on freshwater community structure and ecosystem functioning"
"Objective Functions for Information-Content-Based Optimal Monitoring Network Design","Q13442814","Steven Weijs","10.5194/hess-2020-148","Objective Functions for Information-Content-Based Optimal Monitoring Network Design"
"Observations of desert flood bores","Q13442814","Marwan Hassan","10.1002/esp.3290150512","Observations of desert flood bores"
"Occupant-based energy upgrades selection for Canadian residential buildings based on field energy data and calibrated simulations","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122430","Occupant-based energy upgrades selection for Canadian residential buildings based on field energy data and calibrated simulations"
"Offshore Drilling Waste Discharge: Egyptian Environmental Regulations","Q13442814","Rehan Sadiq","10.2118/161446-ms","Offshore Drilling Waste Discharge: Egyptian Environmental Regulations"
"Omniphobic Polyvinylidene Fluoride (PVDF) Membrane for Desalination of Shale Gas Produced Water by Membrane Distillation","Q13442814","Jongho Lee","10.1021/acs.est.6b03882.s001","Omniphobic Polyvinylidene Fluoride (PVDF) Membrane for Desalination of Shale Gas Produced Water by Membrane Distillation"
"On how sediment supply affects step formation, evolution and stability in steep streams: an experimental study","Q13442814","Marwan Hassan","10.5194/esurf-2020-30","On how sediment supply affects step formation, evolution and stability in steep streams: an experimental study"
"On how spatial variations of channel width influence","Q13442814","Marwan Hassan","10.1002/2016gl069824","On how spatial variations of channel width influence"
"On the issue of incomplete and missing water-quality data in mine site databases: comparing three imputation methods","Q13442814","Rehan Sadiq","10.1007/s10230-014-0322-4","On the issue of incomplete and missing water-quality data in mine site databases: comparing three imputation methods"
"On the limitation of evidence-based policy: Regulatory narratives and land application of biosolids/sewage sludge in BC, Canada and Sweden","Q13442814","Gunilla Öberg","10.1016/j.envsci.2018.03.006","On the limitation of evidence-based policy: Regulatory narratives and land application of biosolids/sewage sludge in BC, Canada and Sweden"
"On the role of review papers in the face of escalating publication rates-a case study of research on contaminants of emerging concern (CECs)","Q13442814","Gunilla Öberg","10.1016/j.envint.2019.104960","On the role of review papers in the face of escalating publication rates-a case study of research on contaminants of emerging concern (CECs)"
"Online drinking water quality monitoring: review on available and emerging technologies","Q13442814","Rehan Sadiq","10.1080/10643389.2013.781936","Online drinking water quality monitoring: review on available and emerging technologies"
"Online monitoring of drinking water quality in a distribution network: a selection procedure for suitable water quality parameters and sensor devices","Q13442814","Rehan Sadiq","10.1007/s13198-012-0133-6","Online monitoring of drinking water quality in a distribution network: a selection procedure for suitable water quality parameters and sensor devices"
"Operation of passive membrane systems for drinking water treatment","Q13442814","Pierre Bérubé","10.1016/j.watres.2017.02.065","Operation of passive membrane systems for drinking water treatment"
"Opportunities and challenges in energy demand reduction for Canadian residential sector: A review","Q13442814","Rehan Sadiq","10.1016/j.rser.2017.07.021","Opportunities and challenges in energy demand reduction for Canadian residential sector: A review"
"Optimal Module Configuration and Sparging Scenario for a Submerged Hollow Fiber Membrane System","Q13442814","Pierre Bérubé","10.2175/193864710798216792","Optimal Module Configuration and Sparging Scenario for a Submerged Hollow Fiber Membrane System"
"Optimal renewable energy supply choices for net-zero ready buildings: A life cycle thinking approach under uncertainty","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2019.07.030","Optimal renewable energy supply choices for net-zero ready buildings: A life cycle thinking approach under uncertainty"
"Optimization of air sparging and in-line coagulation for ultrafiltration fouling control","Q13442814","Pierre Bérubé","10.1016/j.seppur.2017.06.064","Optimization of air sparging and in-line coagulation for ultrafiltration fouling control"
"Optimization of chlorination boosters in drinking water distribution network for Al-Khobar City in Saudi Arabia","Q13442814","Rehan Sadiq","10.1007/s12517-016-2552-1","Optimization of chlorination boosters in drinking water distribution network for Al-Khobar City in Saudi Arabia"
"Optimization of hydraulic fracturing wastewater management alternatives: A hybrid multi-objective linear programming model","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.124950","Optimization of hydraulic fracturing wastewater management alternatives: A hybrid multi-objective linear programming model"
"Optimization of integrated fuzzy decision tree and regression models for selection of oil spill response method in the Arctic","Q13442814","Rehan Sadiq","10.1016/j.knosys.2020.106676","Optimization of integrated fuzzy decision tree and regression models for selection of oil spill response method in the Arctic"
"Optimizing Locations for Chlorine Booster Stations in Small Water Distribution Networks","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000759","Optimizing Locations for Chlorine Booster Stations in Small Water Distribution Networks"
"Optimizing booster chlorination in water distribution networks: a water quality index approach","Q13442814","Rehan Sadiq","10.1007/s10661-013-3153-z","Optimizing booster chlorination in water distribution networks: a water quality index approach"
"Optimizing residential density based on water–energy–carbon nexus using UTilités Additives (UTA) method","Q13442814","Rehan Sadiq","10.1007/s10098-018-1506-6","Optimizing residential density based on water–energy–carbon nexus using UTilités Additives (UTA) method"
"Optimizing the sparging condition and membrane module spacing for a ZW500 submerged hollow fiber membrane system","Q13442814","Pierre Bérubé","10.5004/dwt.2012.2443","Optimizing the sparging condition and membrane module spacing for a ZW500 submerged hollow fiber membrane system"
"Ordered visibility graph weighted averaging aggregation operator: A methodology based on network analysis","Q13442814","Rehan Sadiq","10.1016/j.cie.2015.06.021","Ordered visibility graph weighted averaging aggregation operator: A methodology based on network analysis"
"Organic Matter Chlorination Rates in Different Boreal Soils: The Role of Soil Organic Matter Content","Q13442814","Gunilla Öberg","10.1021/es203191r","Organic Matter Chlorination Rates in Different Boreal Soils: The Role of Soil Organic Matter Content"
"Organic and inorganic chlorine in Swedish spruce forest soil: influence of nitrogen","Q13442814","Gunilla Öberg","10.1016/s0016-7061(00)00087-2","Organic and inorganic chlorine in Swedish spruce forest soil: influence of nitrogen"
